id	label	weight
001416ec1f0223ee123da0c6e66c9057	_www.cst.zju.edu.cn_uploadfile_2014_0409_20140409105738198.png	1
00297f9e605ea4ad1f7fe245f4dd32d7	_www.cst.zju.edu.cn_web_css_.._images_tb2.png	1
0036fabc898ae9ed3755f51abd977319	_www.cst.zju.edu.cn_index.php_c=Index_a=zswd_detail_id=154	1
005f3b2b99b3c5e36611faecf26abe81	_www.cst.zju.edu.cn_uploadfile_2016_1107_20161107641049.doc	1
0060bf577455c49a01ce9e8b77806c72	_www.cst.zju.edu.cn_index.php_c=Index_a=detail_catid=16_id=952	1
006444ece6e6358dc521ee59df029d66	_www.cst.zju.edu.cn_uploadfile_2017_0417	1
006e04fd7fb59b6af89690c0a439cdd4	_www.cst.zju.edu.cn_index.php_c=Index_a=small_list_catid=136_p=2	1
0078a8da12a29801c4512d9b71fbd1f7	_www.cst.zju.edu.cn_uploadfile_2014_0507_20140507023121642.jpg	1
007b6f909992bf478e6399568f28aff0	_www.cst.zju.edu.cn_uploadfile_2014_0610	1
007d50569a33b038c55917c05ab4cd68	_www.cst.zju.edu.cn_index.php_c=Index_a=detail_catid=73_id=2861	1
00a20ff69728eab2c7d782e8780899e9	_www.cst.zju.edu.cn_uploadfile_2014_0707_20140707031638965.docx	1
00a351ddc7ca2e7b99069d949a4018c8	_www.cst.zju.edu.cn_index.php_c=Index_a=tlist_catid=77_p=1	1
00ad199c1f0402e5ae825a795fd12544	_www.cst.zju.edu.cn_index.php_c=Index_a=tlist_catid=16_p=14	1
00e7715d574f0dce0396c73fe6b605cc	_www.cst.zju.edu.cn_index.php_c=Index_a=detail_catid=72_id=1890	1
0104702854c23fb719d4aed7704a4c2d	_www.cst.zju.edu.cn_index.php_c=Index_a=tlist_catid=17_p=8	1
0129cba3f9f23cacad63beb5ba6f447e	_www.cst.zju.edu.cn_index.php_c=Index_a=tlist_catid=106_p=5	1
013169151d5f415fabfa78524192abf4	_www.cst.zju.edu.cn_index.php_c=Index_a=small_list_catid=15_p=5	1
01386d652c684d5a427ae8bdabbc5184	_www.cst.zju.edu.cn_uploadfile_2013_1210_20131210120438259.doc	1
0144759e7284f607ef04e0e18e773f2c	_www.cst.zju.edu.cn_uploadfile_2015_0820_20150820044321960.jpg	1
01473c924b06fcff5f0f041f3c02de12	_www.cst.zju.edu.cn_uploadfile_2017_0630	1
015161a083a97d0716c8a9ea94eada56	_www.cst.zju.edu.cn_uploadfile_2014_0109	1
0165f589c2aabbacfe621c326aadd7d0	_www.cst.zju.edu.cn_index.php_c=Index_a=tlist_catid=2_p=13	1
016c164bf6af42089353058f1af6de61	_www.cst.zju.edu.cn_web_js	1
016c66126410d361715100e5021383f8	_www.cst.zju.edu.cn_index.php_c=Index_a=zswd_detail_id=1717	1
01714a7a051f90d0a062f5e53782c348	_www.cst.zju.edu.cn_index.php_c=Index_a=tlist_catid=43	1
0172e9ac6e79902c240c72c76cc2bc36	_www.cst.zju.edu.cn_uploadfile	1
0174fa2db6fb6aacd3f704e4f5b2aee1	_www.cst.zju.edu.cn_index.php_c=Index_a=detail_catid=73_id=2668	1
017cee482e4c2aa7dc3acf8c6037325d	_www.cst.zju.edu.cn_index.php_c=Index_a=zswd_detail_id=219	1
